"artist","album","genre","primary","score","date","author","role"
"Charles Bradley","Black Velvet","Pop/R&B","Pop/R&B",6.6,2018-11-17,"Stephen Thomas Erlewine","Contributor"
"The Men","Hated: 2008-2011","Rock","Rock",7.4,2018-11-17,"Stuart Berman","Contributor"
"Charles Mingus","Jazz in Detroit / Strata Concert Gallery / 46 Selden","Jazz","Jazz",8.6,2018-11-17,"Piotr Orlov","Contributor"
"Anderson .Paak","Oxnard","Pop/R&B","Pop/R&B",7,2018-11-16,"Torii MacAdams",""
"Trippie Redd","A Love Letter to You 3","Rap","Rap",6.6,2018-11-16,"Trey Alston","Associate Staff Writer"
"Wume","Towards the Shadow","Experimental","Experimental",7.5,2018-11-16,"Jonathan Williger","Contributor"
"Senyawa","Sujud","Experimental","Experimental",7.6,2018-11-16,"Whitney  Wei","Contributor"
"Muse","Simulation Theory","Rock","Rock",6,2018-11-15,"Ian Cohen","Contributor"
"CupcakKe","Eden","Rap","Rap",7.9,2018-11-15,"Dani Blum ","Contributor "
"Demdike Stare","Passion","Electronic","Electronic",8,2018-11-15,"Andy Beta","Contributor"
"The Glands","I Can See My House From Here","Rock","Rock",8.5,2018-11-15,"Paul Thompson","Contributor"
"Imagine Dragons","Origins","Rock","Rock",5.3,2018-11-14,"Corban Goble","Contributor"
"Sun Kil Moon","This Is My Dinner","Folk/Country","Folk/Country",2.8,2018-11-14,"Grayson Haver Currin","Contributor"
"Freddie Gibbs, Curren$y, The Alchemist","Fetti","Rap","Rap",8,2018-11-14,"Timmhotep Aku","Senior Editor"
"David Lynch, Angelo Badalamenti","Thought Gang","Experimental,Rock","Experimental",6.2,2018-11-14,"Andy Beta","Contributor"
"Laura Jane Grace & the Devouring Mothers","Bought to Rot","Rock","Rock",5.6,2018-11-13,"Grayson Haver Currin","Contributor"
"Félicia Atkinson, Jefre Cantu-Ledesma","Limpid as the Solitudes","Experimental","Experimental",7.7,2018-11-13,"Kevin Lozano","Contributor"
"Gaye Su Akyol","İstikrarlı Hayal Hakikattir","Global","Global",7.7,2018-11-13,"Andy Beta","Contributor"
"Homeboy Sandman, Edan","Humble Pi","Rap","Rap",6.8,2018-11-13,"Dean Van Nguyen","Contributor"
"Smino","NOIR","Rap","Rap",7.6,2018-11-12,"Jay Balfour","Contributor"
"J Mascis","Elastic Days","Rock","Rock",7.3,2018-11-12,"Stuart Berman","Contributor"
"H.E.R.","I Used to Know Her: Part 2 EP","Pop/R&B","Pop/R&B",6,2018-11-12,"Jackson Howard","Contributor "
"Yung Lean","Poison Ivy","Rap","Rap",4.9,2018-11-12,"Calum Marsh","Contributor"
"System of a Down","Toxicity","Metal","Metal",8.2,2018-11-11,"Sasha Geffen","Contributor"
"Fleet Foxes","First Collection 2006 – 2009","Folk/Country","Folk/Country",8.1,2018-11-10,"Larry Fitzmaurice","Contributor"
"BlocBoy JB ","Don’t Think That","Rap","Rap",6.2,2018-11-10,"Sheldon Pearce","Contributing Writer"
"Rosanne Cash","She Remembers Everything","Rock","Rock",7.6,2018-11-10,"Stephen Thomas Erlewine","Contributor"
"RRUCCULLA","SHuSH","Experimental","Experimental",7.6,2018-11-10,"Philip Sherburne","Contributing Editor"
"Lil Peep","Come Over When You’re Sober Pt. 2","Rap","Rap",7.2,2018-11-09,"Jayson Greene","Contributing Editor"
"Vessel","Queen of Golden Dogs","Experimental","Experimental",8,2018-11-09,"Chal Ravens","Contributor"
"Swizz Beatz","Poison","Rap","Rap",7.1,2018-11-09,"Sheldon Pearce","Contributing Writer"
"Daughters","You Won’t Get What You Want","Rock","Rock",8,2018-11-09,"Ian Cohen","Contributor"
"Rosalía","El Mal Querer","Pop/R&B","Pop/R&B",8.8,2018-11-08,"Julianne Escobedo Shepherd","Contributor"
"Flohio","Wild Yout EP","Rap","Rap",6.8,2018-11-08,"Ciaran Thapar","Contributor "
"Nicole Dollanganger","Heart Shaped Bed","Rock","Rock",6,2018-11-08,"Quinn Moreland","Assistant Editor"
"Matt Ox","OX","Rap","Rap",5.6,2018-11-08,"Trey Alston","Associate Staff Writer"
"Metro Boomin","Not All Heroes Wear Capes","Rap","Rap",7.7,2018-11-07,"Alphonse Pierre","Staff Writer "
"Takeoff","The Last Rocket","Rap","Rap",7.7,2018-11-07,"Jonah Bromwich","Contributor"
"Bob Dylan","More Blood, More Tracks: The Bootleg Series Vol. 14","Rock","Rock",8.5,2018-11-07,"Sam Sodomsky","Associate Staff Writer"
"1010 Benja SL","Two Houses EP","Pop/R&B,Electronic","Pop/R&B",7.9,2018-11-07,"Kevin Lozano","Contributor"
"Georgia Anne Muldrow","Overload","Pop/R&B","Pop/R&B",8,2018-11-06,"Dean Van Nguyen","Contributor"
"Action Bronson","White Bronco","Rap","Rap",5.1,2018-11-06,"Phillip Mlynar","Contributor"
"Brent Faiyaz  ","Lost EP","Pop/R&B","Pop/R&B",6.6,2018-11-06,"Margaret Farrell","Contributor "
"The Prodigy","No Tourists","Electronic","Electronic",6.2,2018-11-06,"Ben Cardew","Contributor"
"Pistol Annies","Interstate Gospel","Folk/Country","Folk/Country",8,2018-11-05,"Mike Powell","Contributor"
"Kelly Moran","Ultraviolet","Experimental","Experimental",7.6,2018-11-05,"Philip Sherburne","Contributing Editor"
